layer,replicate,n_train,n_oob,update_mse,update_r2
1,26,14353,5310,0.02252090722322464,0.3416304588317871
2,26,14353,5310,0.036549922078847885,0.4404207766056061
3,26,14353,5310,0.06537038832902908,0.5239971280097961
4,26,14353,5310,0.03204682841897011,0.5181726813316345
5,26,14353,5310,0.030750377103686333,0.5859875679016113
6,26,14353,5310,0.0320177786052227,0.6259495615959167
7,26,14353,5310,0.04001101106405258,0.6778712272644043
8,26,14353,5310,0.047128304839134216,0.6745116710662842
9,26,14353,5310,0.06057741120457649,0.6740009188652039
10,26,14353,5310,0.08162975311279297,0.5809116959571838
11,26,14353,5310,0.43224820494651794,0.5622610449790955
0,27,14353,5288,0.01727762259542942,0.7707255482673645
1,27,14353,5288,0.022452181205153465,0.3436107635498047
2,27,14353,5288,0.03607694432139397,0.4480738937854767
3,27,14353,5288,0.06341254711151123,0.5352597236633301
4,27,14353,5288,0.03191964700818062,0.5177429914474487
5,27,14353,5288,0.030496709048748016,0.5877131819725037
6,27,14353,5288,0.03172914683818817,0.6264984011650085
7,27,14353,5288,0.03962370380759239,0.6784064173698425
8,27,14353,5288,0.04674932360649109,0.6708522439002991
9,27,14353,5288,0.06052089110016823,0.6715855598449707
10,27,14353,5288,0.08162092417478561,0.5828831791877747
11,27,14353,5288,0.4232722818851471,0.5669668316841125
0,28,14353,5298,0.017446201294660568,0.7674595713615417
1,28,14353,5298,0.02294204570353031,0.34293022751808167
2,28,14353,5298,0.03641776368021965,0.44784221053123474
3,28,14353,5298,0.06376654654741287,0.5327926278114319
4,28,14353,5298,0.03194284811615944,0.5194429159164429
5,28,14353,5298,0.030624331906437874,0.5877318978309631
6,28,14353,5298,0.03182689845561981,0.627936840057373
7,28,14353,5298,0.039601150900125504,0.6780702471733093
8,28,14353,5298,0.04718032106757164,0.6708629131317139
9,28,14353,5298,0.06076784059405327,0.6703206896781921
10,28,14353,5298,0.0812983438372612,0.5803489089012146
11,28,14353,5298,0.4600101411342621,0.5542616844177246
0,29,14353,5281,0.01734043098986149,0.7689812779426575
1,29,14353,5281,0.022308608517050743,0.33978357911109924
2,29,14353,5281,0.036166753619909286,0.4373966157436371
3,29,14353,5281,0.06394755095243454,0.5189142227172852
4,29,14353,5281,0.032043833285570145,0.517181932926178
5,29,14353,5281,0.03059130348265171,0.5850731730461121
6,29,14353,5281,0.031929876655340195,0.6263744235038757
7,29,14353,5281,0.03979334235191345,0.6772253513336182
8,29,14353,5281,0.047177720814943314,0.6735631823539734
9,29,14353,5281,0.060082752257585526,0.6752422451972961
10,29,14353,5281,0.0812063068151474,0.5802251100540161
11,29,14353,5281,0.41496825218200684,0.5603737235069275
0,30,14353,5287,0.017106514424085617,0.7706417441368103
1,30,14353,5287,0.02192080020904541,0.3513515889644623
2,30,14353,5287,0.035309549421072006,0.444009393453598
3,30,14353,5287,0.06343448907136917,0.5201080441474915
4,30,14353,5287,0.0315125435590744,0.5218867063522339
5,30,14353,5287,0.030405918136239052,0.5906470417976379
6,30,14353,5287,0.031569842249155045,0.6301658749580383
7,30,14353,5287,0.03917020186781883,0.6822652220726013
8,30,14353,5287,0.04665106534957886,0.6741525530815125
9,30,14353,5287,0.059810053557157516,0.6754603385925293
10,30,14353,5287,0.08066432923078537,0.5805515646934509
11,30,14353,5287,0.4024304449558258,0.5598359704017639
0,31,14353,5318,0.017356498166918755,0.7703778743743896
1,31,14353,5318,0.02257365547120571,0.3430823087692261
2,31,14353,5318,0.03621061146259308,0.4406108558177948
3,31,14353,5318,0.06593018025159836,0.5154261589050293
4,31,14353,5318,0.03202071413397789,0.5181501507759094
5,31,14353,5318,0.030801966786384583,0.585990846157074
6,31,14353,5318,0.03202095627784729,0.6283687949180603
7,31,14353,5318,0.0398673340678215,0.6820022463798523
8,31,14353,5318,0.04713190719485283,0.672326385974884
9,31,14353,5318,0.060364771634340286,0.6721940040588379
10,31,14353,5318,0.08137694001197815,0.5791987776756287
11,31,14353,5318,0.4179880917072296,0.5635345578193665
0,32,14353,5305,0.01757942885160446,0.7671611905097961
1,32,14353,5305,0.023143701255321503,0.3443721830844879
2,32,14353,5305,0.03684421628713608,0.44868168234825134
3,32,14353,5305,0.0660509467124939,0.5350948572158813
4,32,14353,5305,0.03224503621459007,0.5176663994789124
5,32,14353,5305,0.030668437480926514,0.5872505307197571
6,32,14353,5305,0.03216065838932991,0.6285041570663452
7,32,14353,5305,0.039889682084321976,0.6825922131538391
8,32,14353,5305,0.047159433364868164,0.6745712757110596
9,32,14353,5305,0.060534387826919556,0.6743103861808777
10,32,14353,5305,0.08148156106472015,0.5819786190986633
11,32,14353,5305,0.41673967242240906,0.5653047561645508
0,33,14353,5248,0.017374034970998764,0.7706992030143738
1,33,14353,5248,0.02220999263226986,0.34646496176719666
2,33,14353,5248,0.03613969311118126,0.44988295435905457
3,33,14353,5248,0.06391587108373642,0.5343747735023499
4,33,14353,5248,0.03171062469482422,0.5206272602081299
5,33,14353,5248,0.030453646555542946,0.5852047801017761
6,33,14353,5248,0.03149969503283501,0.6269493103027344
7,33,14353,5248,0.03935422748327255,0.677681028842926
8,33,14353,5248,0.04650251194834709,0.6731204986572266
9,33,14353,5248,0.06002846732735634,0.6736559867858887
10,33,14353,5248,0.08075573295354843,0.5831137299537659
11,33,14353,5248,0.422176718711853,0.5626137852668762
0,34,14353,5282,0.01760079525411129,0.7696788907051086
1,34,14353,5282,0.02275257743895054,0.3384537398815155
2,34,14353,5282,0.03625937178730965,0.44582995772361755
3,34,14353,5282,0.06451612710952759,0.5326066613197327
4,34,14353,5282,0.03188279643654823,0.5190539956092834
5,34,14353,5282,0.03051420859992504,0.5887100100517273
6,34,14353,5282,0.03154363855719566,0.6304814219474792
7,34,14353,5282,0.03961866721510887,0.6820767521858215
8,34,14353,5282,0.04712781310081482,0.6723302006721497
9,34,14353,5282,0.06014589965343475,0.6737834811210632
10,34,14353,5282,0.08097780495882034,0.5827389359474182
11,34,14353,5282,0.43208780884742737,0.5678256750106812
0,35,14353,5309,0.017323177307844162,0.7699615955352783
1,35,14353,5309,0.02223687432706356,0.3432670533657074
2,35,14353,5309,0.03592383489012718,0.4402495324611664
3,35,14353,5309,0.061883240938186646,0.5215070247650146
4,35,14353,5309,0.03191976621747017,0.5199843049049377
5,35,14353,5309,0.030373722314834595,0.5875072479248047
6,35,14353,5309,0.03178080543875694,0.627493143081665
7,35,14353,5309,0.03948128595948219,0.6800177693367004
8,35,14353,5309,0.04690955951809883,0.6715888977050781
9,35,14353,5309,0.060075145214796066,0.6723880767822266
10,35,14353,5309,0.08097533881664276,0.5793938636779785
11,35,14353,5309,0.425816148519516,0.5668116211891174
0,36,14353,5297,0.01745281182229519,0.7690305709838867
1,36,14353,5297,0.022545618936419487,0.34355655312538147
2,36,14353,5297,0.0361957810819149,0.43934664130210876
3,36,14353,5297,0.06393911689519882,0.5177720785140991
4,36,14353,5297,0.03206941857933998,0.5171394348144531
5,36,14353,5297,0.0305169764906168,0.5873231291770935
6,36,14353,5297,0.03198214992880821,0.6279948353767395
7,36,14353,5297,0.039840538054704666,0.6789076924324036
8,36,14353,5297,0.04727207496762276,0.6683147549629211
9,36,14353,5297,0.060479000210762024,0.6729725003242493
10,36,14353,5297,0.08128649741411209,0.5791098475456238
11,36,14353,5297,0.41887208819389343,0.5607158541679382
0,37,14353,5278,0.01732206717133522,0.7711156010627747
1,37,14353,5278,0.022438781335949898,0.34620165824890137
2,37,14353,5278,0.03578345477581024,0.44130396842956543
3,37,14353,5278,0.06093783676624298,0.5194990038871765
4,37,14353,5278,0.03200304135680199,0.519114077091217
5,37,14353,5278,0.03062213771045208,0.5854430794715881
6,37,14353,5278,0.03184305503964424,0.6254227161407471
7,37,14353,5278,0.04002845287322998,0.6786441206932068
8,37,14353,5278,0.047501012682914734,0.6716828346252441
9,37,14353,5278,0.06055218353867531,0.6744508743286133
10,37,14353,5278,0.0813070759177208,0.5811662673950195
11,37,14353,5278,0.41818276047706604,0.5707459449768066
0,38,14353,5244,0.01740296557545662,0.7683789730072021
1,38,14353,5244,0.02244715392589569,0.3480353057384491
2,38,14353,5244,0.036358386278152466,0.45023313164711
3,38,14353,5244,0.06486513465642929,0.5408058762550354
4,38,14353,5244,0.03179171681404114,0.5215132832527161
5,38,14353,5244,0.030379118397831917,0.5899912714958191
6,38,14353,5244,0.031683024019002914,0.6317724585533142
7,38,14353,5244,0.03950061649084091,0.6809626221656799
8,38,14353,5244,0.04692597687244415,0.6732837557792664
9,38,14353,5244,0.059933703392744064,0.6751613616943359
10,38,14353,5244,0.08051785826683044,0.5828443169593811
11,38,14353,5244,0.4126111567020416,0.5538570880889893
0,39,14353,5311,0.017384717240929604,0.7690322995185852
1,39,14353,5311,0.022487709298729897,0.3430686891078949
2,39,14353,5311,0.036270104348659515,0.4435928761959076
3,39,14353,5311,0.06448595970869064,0.5215717554092407
4,39,14353,5311,0.03193928673863411,0.5181030631065369
5,39,14353,5311,0.030601665377616882,0.583634078502655
6,39,14353,5311,0.031848859041929245,0.6244602799415588
